,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
2874,20,30,955,18470,22079,487495856,18470,22079,487495856,16,8,67,2375,1367,1870841,0,3
2875,10,7,58,16682,22423,502804681,16674,22427,502996187,15,9,87,2260,1302,1697661,0,3
2876,16,36,1340,18044,19799,392019397,18022,19813,392570641,5,6,38,830,1297,1683850,0,3
2877,15,27,734,17375,19766,390710135,17375,19766,390710135,13,8,76,2291,1813,3288616,0,3
2878,18,30,916,17634,22014,484640457,16412,21630,467858052,12,8,64,2124,1800,3243398,0,3
2879,9,6,40,14823,21256,451855947,14823,21256,451855947,11,8,65,2156,1679,2821783,0,4
2880,6,6,40,21267,24244,587781178,21267,24244,587781178,11,8,67,1680,1284,1648858,0,3
2881,9,7,50,16742,21748,472977042,16742,21748,472977042,13,10,120,2003,1794,3220527,0,3
2882,39,54,2986,15206,18885,356650531,15206,18885,356650531,10,8,76,1704,1851,3427496,0,3
2883,21,34,1211,18569,22693,514993600,18570,22693,514985783,13,8,72,2460,2057,4234026,0,3
2884,25,37,1370,15167,20109,404378341,15167,20108,404363177,15,9,89,1957,1401,1962854,0,3
2885,9,6,39,19119,21227,450621371,19119,21227,450621371,16,7,56,2340,1092,1193107,0,3
2886,17,27,735,19504,21431,459303855,18163,21088,444708103,14,8,72,2312,1427,2037342,0,3
2887,15,30,946,19313,21648,468670995,17770,21305,453941918,11,9,85,1548,1449,2100761,0,3
2888,17,31,961,17510,22154,490814633,17510,22154,490814633,11,9,99,1780,1964,3859276,0,3
2889,31,45,2039,19302,21654,468932901,19302,21654,468932901,11,8,77,2189,2120,4495420,0,3
2890,19,45,2092,20273,23396,547395394,20273,23396,547395394,11,9,81,1862,1529,2340352,0,3
2891,19,31,1005,18421,23479,551309288,18421,23479,551309288,9,8,65,1967,1955,3824131,0,3
2892,14,25,663,18674,22983,528223618,18674,22983,528223618,14,7,55,2255,1643,2701582,0,3
2893,11,55,3027,33076,25294,639823928,33076,25294,639823928,6,1,1,610,230,53154,1,3
2894,7,28,828,32728,24919,621002946,32728,24919,621002946,6,0,0,1104,600,360110,1,3
2895,23,34,1171,16472,19696,387943449,16472,19696,387943449,14,9,87,2505,2046,4188270,0,3
2896,8,7,55,20601,22706,515568993,20601,22706,515568993,13,9,87,1952,1400,1960793,0,3
2897,14,9,81,22190,23848,568767556,22190,23848,568767556,16,8,67,2700,1446,2092254,0,3
2898,9,8,74,18371,24409,595840604,18354,24419,596289747,10,8,75,1629,1503,2260353,0,3
2899,8,8,67,22105,23836,568173429,20810,24010,576510461,12,9,96,1809,1452,2109012,0,3
2900,9,10,108,19246,21831,476621901,18336,21776,474231052,12,10,105,1828,1746,3049222,0,3
2901,15,31,975,17039,22574,509608178,17039,22574,509608178,11,8,80,1817,1703,2901675,0,3
2902,9,7,59,17399,21474,461152075,16207,21441,459755325,15,8,70,2312,1481,2196209,0,3
2903,9,6,41,17180,21775,474155667,17165,21783,474515278,14,8,67,2288,1198,1435864,0,3
2904,24,50,2572,17746,19759,390420441,17746,19759,390420441,14,7,61,2332,1393,1942345,0,3
2905,14,25,654,17386,21418,458759660,17386,21418,458759660,12,8,76,1862,1608,2588526,0,3
2906,14,25,647,21262,23867,569659761,19894,23388,547036322,11,9,87,1706,1546,2390765,0,3
2907,9,9,86,19115,20991,440622689,19115,20991,440622689,11,10,102,1727,1618,2620167,0,3
2908,26,40,1610,16018,20517,420952725,15159,20731,429810458,11,7,63,2183,1965,3864885,0,3
2909,11,12,160,20267,23946,573430766,20267,23946,573430766,14,7,52,2070,1148,1319015,0,3
